,length,recall,support
0,22,0.0,1
1,25,1.0,1
2,27,0.6666666666666666,1
3,28,0.6,4
4,29,0.8888888888888888,3
5,30,0.7692307692307693,4
6,31,0.7272727272727273,3
7,32,0.8181818181818182,3
8,33,0.6896551724137931,7
9,34,0.7647058823529411,5
10,35,0.65,4
11,36,0.6129032258064516,6
12,37,0.6176470588235294,5
13,38,0.7575757575757576,7
14,39,0.7142857142857143,4
15,40,0.6923076923076923,7
16,41,0.6862745098039216,9
17,42,0.5526315789473685,7
18,43,0.8333333333333334,1
19,44,0.7317073170731707,7
20,45,0.7333333333333333,6
21,46,0.75,1
22,47,0.6875,3
23,48,0.7647058823529411,3
24,49,0.75,2
25,50,0.5833333333333334,2
26,52,0.5714285714285714,1
